#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
117,ドコモショップ音更木野店,通常営業（ドコモ）,通常営業,ドコモ,北海道 河東郡音更町 木野大通西 15-1-17,42.9657195,143.2066301,,充電,"10:00 - 19:00

【営業時間変更】
2018年10月9日（火）：10:00 - 17:00",第2水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,河東郡音更町,木野大通西 15-1-17
118,ドコモショップ帯広大通南28丁目店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 大通南 28-1-2,42.9004385,143.2077807,,充電,"10:00 - 19:00

【営業時間変更】
2018年10月9日（火）：10:00 - 17:00",無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,大通南 28-1-2
119,ドコモショップ帯広自由が丘店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 自由が丘 2-1,42.9036751,143.1625819,,充電,"10:00 - 19:00

【営業時間変更】
2018年10月9日（火）：10:00 - 17:00",無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,自由が丘 2-1
120,ドコモショップ帯広店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 西13条北 1-1-4,42.9308918,143.1831042,,充電,10:00 - 19:00,"第3水曜

【臨時休業日】
2018年9月18日（火）",,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,西13条北 1-1-4
121,ドコモショップ帯広南町店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 西17条南 36-2-14,42.8871496,143.178337,,充電,10:00 - 19:00,"第3水曜

【臨時休業日】
2018年9月18日（火）",,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,西17条南 36-2-14
122,ドコモショップ釧路愛国店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 愛国西 1-24-8,43.0111903,144.3855431,,充電,10:00 - 19:00,第2水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,愛国西 1-24-8
123,ドコモショップ釧路光和店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路郡釧路町 光和 4丁目14-1,43.00705,144.4039579,,充電,10:00 - 19:00,第3木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路郡釧路町,光和 4丁目14-1
124,ドコモショップ釧路昭和店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 昭和中央 4-1-1,43.0221194,144.3579231,,充電,10:00 - 19:00,"第3火曜

【臨時営業日】
2018年9月18日（火）

【臨時休業日】
2018年9月14日（金）
2018年9月15日（土）",,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,昭和中央 4-1-1
125,ドコモショップ釧路店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 北大通 10丁目1番 ドコモ釧路ビル1F,42.987079,144.383872,,充電,10:00 - 19:00,第3火曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,北大通 10丁目1番 ドコモ釧路ビル1F
126,ドコモショップ釧路鳥取店,通常営業（ドコモ）,通常営業,ドコモ,北海道 釧路市 鳥取大通 6-8-14,43.015775,144.3413417,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,釧路市,鳥取大通 6-8-14
