#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
179,厚真町災害ボランティアセンター,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 本郷 283-2,42.7295445,141.8665936,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,本郷 283-2
180,安平町役場,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 早来大町 95,42.7628567,141.8180424,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,早来大町 95
181,早来町民センター,臨時開設（au）,臨時開設,au,北海道 勇払郡 早来北進 102-4,42.7655593,141.8222946,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡,早来北進 102-4
182,追分公民館,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 追分緑が丘 200-2,42.8783461,141.8134442,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,追分緑が丘 200-2
183,安平公民館,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 安平 165,42.8158761,141.8287855,「安平地区公民館」にマッピング,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,安平 165
184,花園若草会館,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 追分若草 1丁目35,42.8663424,141.8177195,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,追分若草 1丁目35
185,青葉会館,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 追分白樺 2丁目3-1,42.8768042,141.8051369,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,追分白樺 2丁目3-1
186,安平町災害ボランティアセンター,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 早来大町 156-1,42.7687202,141.8252608,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,早来大町 156-1
187,早来スポーツセンター,臨時開設（au）,臨時開設,au,北海道 勇払郡安平町 早来北進 102-5,42.7634985,141.8238585,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,早来北進 102-5
188,むかわ町立穂別中学校,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 穂別 116,42.769508,142.1424999,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,穂別 116
189,穂別町民センター,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 穂別 2-1,42.761303,142.1337012,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,穂別 2-1
190,むかわ四季の館,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 美幸 3丁目3-1,42.5739733,141.9254643,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,美幸 3丁目3-1
191,むかわ町立鵡川中央小学校,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 花園 1丁目14,42.5775508,141.9292527,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,花園 1丁目14
192,報徳館,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 二宮 315-2,42.6096473,141.9420086,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,二宮 315-2
193,富内銀河会館,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 穂別富内 81-1,42.7836007,142.2203337,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,穂別富内 81-1
194,むかわ町災害ボランティアセンター,臨時開設（au）,臨時開設,au,北海道 勇払郡むかわ町 美幸 3丁目3-1,42.5739733,141.9254643,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,美幸 3丁目3-1
195,平岡南小学校,閉鎖（au）,閉鎖,au,北海道 札幌市清田区 平岡2条6丁目2-1,42.9928229,141.457099,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,札幌市清田区,平岡2条6丁目2-1
196,美しが丘小学校,閉鎖（au）,閉鎖,au,北海道 札幌市清田区 美しが丘2条5丁目,42.9830268,141.4559303,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,札幌市清田区,美しが丘2条5丁目
197,安平町立早来小学校,閉鎖（au）,閉鎖,au,北海道 勇払郡安平町 早来大町159,42.7670953,141.8252581,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡安平町,早来大町159
198,むかわ町立鵡川中学校,閉鎖（au）,閉鎖,au,北海道 勇払郡むかわ町 文京4丁目2,42.5772614,141.9158872,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡むかわ町,文京4丁目2
199,北広島市総合体育館,閉鎖（au）,閉鎖,au,北海道 北広島市 共栄315−2,42.988107,141.5574014,,充電,7:00 - 21:00,,北広島市民,,http://www.city.kitahiroshima.hokkaido.jp/hotnews/detail_sp/00130462.html,2018-09-08 1:26:30,北海道,北広島市,共栄315−2
200,ソフトバンク札幌大通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 大通西10丁目4‐14 南大通ビル1F,43.058571,141.341641,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,大通西10丁目4‐14 南大通ビル1F
201,ソフトバンク鳥居前,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 北2条西25丁目 1‐2,43.059109,141.3193907,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,北2条西25丁目 1‐2
202,ソフトバンク札幌中央,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南1条西2丁目 16,43.05944,141.354507,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南1条西2丁目 16
203,ソフトバンク札幌南２１条電車通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南21条西9丁目 2‐15,43.0311464,141.3469288,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南21条西9丁目 2‐15
204,ソフトバンク札幌山鼻,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南11条西11丁目 2-1 M34札幌山鼻ビル1F,43.0448452,141.3427479,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南11条西11丁目 2-1 M34札幌山鼻ビル1F
205,ソフトバンクサッポロファクトリー,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 北2条東4丁目 1‐2 サッポロファクトリー2条館1階,43.065684,141.363042,,充電,18:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,北2条東4丁目 1‐2 サッポロファクトリー2条館1階
206,ソフトバンク旭ヶ丘,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 南15条西19丁目 1‐7 緑新興産ビル1階,43.0380491,141.3296964,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,南15条西19丁目 1‐7 緑新興産ビル1階
207,ソフトバンク北五条通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市中央区 北5条西15丁目 1‐16,43.0645365,141.3327059,,充電,19:30 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市中央区,北5条西15丁目 1‐16
208,ソフトバンク北３４条駅,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 北32条西5丁目 3‐27 レガート北32 1F,43.099465,141.3402781,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,北32条西5丁目 3‐27 レガート北32 1F
209,ソフトバンク屯田,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 屯田8条2丁目 8-20,43.1403157,141.3430111,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,屯田8条2丁目 8-20
210,ソフトバンク篠路,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 篠路3条3丁目 1‐29,43.1445489,141.3568295,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,篠路3条3丁目 1‐29
211,ソフトバンク札幌新川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 北23条西14丁目 6-4,43.0869976,141.3287355,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,北23条西14丁目 6-4
212,ソフトバンク新琴似,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市北区 新琴似1条6丁目 4‐10,43.1072308,141.3180378,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市北区,新琴似1条6丁目 4‐10
213,ソフトバンク北栄,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北47条東8丁目 3-3,43.1186941,141.354509,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北47条東8丁目 3-3
214,ソフトバンク東苗穂,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 東苗穂10条2丁目 11‐16,43.1004875,141.4170656,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,東苗穂10条2丁目 11‐16
215,ソフトバンク栄町,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北42条東18丁目 1-3,43.1138759,141.370794,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北42条東18丁目 1-3
216,ソフトバンクアリオ札幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北7条東9丁目 2‐20,43.0711702,141.3702553,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北7条東9丁目 2‐20
217,ソフトバンク札幌元町,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北27条東15丁目 399-6 ラポール元町第2,43.0977969,141.3705679,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北27条東15丁目 399-6 ラポール元町第2
218,ソフトバンク光星,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市東区 北8条東8丁目 2-13,43.0733503,141.3652305,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市東区,北8条東8丁目 2-13
219,ソフトバンク東札幌,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 東札幌2条2丁目 4‐21 ラメール札幌1F,43.0514814,141.3848592,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,東札幌2条2丁目 4‐21 ラメール札幌1F
220,ソフトバンク札幌菊水上町,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 菊水上町1条2丁目 100‐6,43.0626909,141.3845076,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,菊水上町1条2丁目 100‐6
221,ソフトバンク菊水元町,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 菊水元町5条2丁目 2‐18,43.071413,141.4077519,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,菊水元町5条2丁目 2‐18
222,ソフトバンク地下鉄白石,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 南郷通1丁目北 5‐14 GoToTower南郷台1階,43.045566,141.3988414,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,南郷通1丁目北 5‐14 GoToTower南郷台1階
223,ソフトバンク札幌白石,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 本通5丁目南4‐12 JHTビル2,43.0474733,141.4122762,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,本通5丁目南4‐12 JHTビル2
224,ソフトバンク南郷１８丁目,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市白石区 南郷通18丁目南3‐3 フォレストOKAP2‐1階,43.0308609,141.432777,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市白石区,南郷通18丁目南3‐3 フォレストOKAP2‐1階
225,ソフトバンク札幌月寒,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市豊平区 月寒中央通5丁目 1‐3 1F,43.0333939,141.3941188,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市豊平区,月寒中央通5丁目 1‐3 1F
226,ソフトバンク美園,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市豊平区 美園3条2丁目 1-28,43.0441093,141.3837584,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市豊平区,美園3条2丁目 1-28
227,ソフトバンク札幌平岸,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市豊平区 平岸2条13丁目3‐10,43.0274276,141.3678021,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市豊平区,平岸2条13丁目3‐10
228,ソフトバンク西岡,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市豊平区 西岡4条5丁目 1‐32 S・Kビル1階,43.0145821,141.3885456,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市豊平区,西岡4条5丁目 1‐32 S・Kビル1階
229,ソフトバンク札幌藤野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市南区 石山2条9丁目 7‐54 アクロスプラザ札幌南,42.9604697,141.3147652,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市南区,石山2条9丁目 7‐54 アクロスプラザ札幌南
230,ソフトバンク札幌川沿,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市南区 川沿10条2丁目 1‐5,42.9849285,141.3348794,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市南区,川沿10条2丁目 1‐5
231,ソフトバンク澄川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市南区 澄川5条3丁目9-10 ライオンズマンション澄川1F,43.0134155,141.3714165,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市南区,澄川5条3丁目9-10 ライオンズマンション澄川1F
232,ソフトバンク札幌八軒,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 八軒5条西4丁目 1-36,43.0894853,141.3103286,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,八軒5条西4丁目 1-36
233,ソフトバンク札幌西野,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 西野3条2丁目 1‐36,43.0743829,141.2829208,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,西野3条2丁目 1‐36
234,ソフトバンク琴似１条,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 琴似1条7丁目 3‐16,43.0725673,141.3006416,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,琴似1条7丁目 3‐16
235,ソフトバンク宮の沢,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 発寒6条9丁目 3‐20,43.0909393,141.2793285,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,発寒6条9丁目 3‐20
236,ソフトバンク琴似,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市西区 琴似2条5丁目 1‐24 エスペランザヴィラ1F,43.076009,141.302319,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市西区,琴似2条5丁目 1‐24 エスペランザヴィラ1F
237,ソフトバンク厚別東,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市厚別区 厚別東5条8丁目 1-10,43.0548447,141.4851765,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市厚別区,厚別東5条8丁目 1-10
238,ソフトバンク新発寒,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市手稲区 新発寒5条1丁目 2-1,43.1104455,141.2770276,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市手稲区,新発寒5条1丁目 2-1
239,ソフトバンク星置,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市手稲区 星置1条2丁目 ラッキー星置駅前店内,43.132869,141.211642,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市手稲区,星置1条2丁目 ラッキー星置駅前店内
240,ソフトバンク札幌西,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市手稲区 西宮の沢4条2丁目 4‐1‐1,43.0986883,141.2612519,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市手稲区,西宮の沢4条2丁目 4‐1‐1
241,ソフトバンク手稲,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市手稲区 前田7条10丁目 10‐15 パークサイドパレス,43.1282133,141.2573805,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市手稲区,前田7条10丁目 10‐15 パークサイドパレス
242,ソフトバンク札幌美しが丘,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市清田区 美しが丘3条1丁目 7‐25,42.987662,141.4443643,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市清田区,美しが丘3条1丁目 7‐25
243,ソフトバンク平岡,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市清田区 平岡4条1丁目 第5アジアビル1F,43.006188,141.446682,,充電,12:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市清田区,平岡4条1丁目 第5アジアビル1F
244,ソフトバンク札幌清田,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 札幌市清田区 清田1条4丁目 1‐37,42.9986078,141.4407862,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,札幌市清田区,清田1条4丁目 1‐37
245,ソフトバンク湯の川,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 湯川町2丁目 18‐11,41.780758,140.7898868,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,湯川町2丁目 18‐11
246,ソフトバンク函館東山,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 東山2丁目 5-19,41.8069299,140.7721199,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,東山2丁目 5-19
247,ソフトバンク函館昭和タウンプラザ,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 昭和1丁目 29‐2 ホクレンショップ内,41.8185248,140.7416045,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,昭和1丁目 29‐2 ホクレンショップ内
248,ソフトバンク函館美原,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 美原1丁目 37-14,41.8167391,140.7490484,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,美原1丁目 37-14
249,ソフトバンク八幡通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 函館市 大川町 8‐26,41.7980742,140.7383695,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,函館市,大川町 8‐26
250,ソフトバンクウイングベイ小樽,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 小樽市 築港 11 ウイングベイ小樽3番街1F,43.1825605,141.0260108,,充電,18:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,小樽市,築港 11 ウイングベイ小樽3番街1F
251,ソフトバンク長崎屋小樽,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 小樽市 稲穂2丁目 20‐1 長崎屋小樽店1F,43.197351,140.9952971,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,小樽市,稲穂2丁目 20‐1 長崎屋小樽店1F
252,ソフトバンクイオンモール旭川駅前,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 宮下通7丁目 2-5 イオンモール旭川駅前3F,43.7637918,142.3575047,,充電,21:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,宮下通7丁目 2-5 イオンモール旭川駅前3F
253,ソフトバンク東光環状線,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 東光15条5丁目 5‐20,43.7405491,142.4052686,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,東光15条5丁目 5‐20
254,ソフトバンク環状永山,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 永山9条4丁目 6‐3,43.7848637,142.4111797,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,永山9条4丁目 6‐3
255,ソフトバンク豊岡４条通,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 豊岡4条3丁目 6‐13,43.7596048,142.3992266,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,豊岡4条3丁目 6‐13
256,ソフトバンク末広,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 末広東1条3丁目 1‐16,43.8036276,142.3871569,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,末広東1条3丁目 1‐16
257,ソフトバンク神居,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 神居3条11丁目 1-5-1,43.7579998,142.3356671,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,神居3条11丁目 1-5-1
258,ソフトバンクイオンモール旭川西,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 旭川市 緑町23丁目 2161‐3 イオンモール旭川西3階,43.793938,142.326353,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,旭川市,緑町23丁目 2161‐3 イオンモール旭川西3階
259,ソフトバンク室蘭,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 室蘭市 中島町1丁目 25‐9,42.3542239,141.019372,,充電,17:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,室蘭市,中島町1丁目 25‐9
260,ソフトバンク釧路文苑,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 釧路市 文苑2丁目 48‐10 フレスポ釧路文苑内,43.01978,144.3800998,,充電,20:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,釧路市,文苑2丁目 48‐10 フレスポ釧路文苑内
261,ソフトバンク釧路昭和,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 釧路市 昭和中央4丁目 9‐13,43.0230443,144.3588924,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,釧路市,昭和中央4丁目 9‐13
262,ソフトバンクフクハラ武佐,通常営業（ソフトバンク）,通常営業,ソフトバンク,北海道 釧路市 武佐3丁目 47‐11 フクハラ武佐店1F,42.9884502,144.420372,,充電,19:00 まで,,,,https://www.softbank.jp/corp/group/sbm/news/info/2018/20180906_01/,2018-09-14 23:13:00,北海道,釧路市,武佐3丁目 47‐11 フクハラ武佐店1F
