名称,名称（基本）,所在地,緯度,経度,標高 (m),津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,避難所の種類・状況,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,確認日時,編集者
（閉鎖・拠点）サンライフ熊本,サンライフ熊本,熊本県 熊本市中央区 黒髪 3丁目3-12,32.819815,130.720178,11.79499912,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）熊本市男女共同参画センター（はあもにい）,熊本市男女共同参画センター（はあもにい）,熊本県 熊本市中央区 黒髪 3丁目3-10,32.81938,130.719903,11.76453686,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）大江出張所（大江公民館）,大江出張所（大江公民館）,熊本県 熊本市中央区 大江 6丁目1-85,32.798865,130.725116,14.11983204,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）五福公民館,五福公民館,熊本県 熊本市中央区 細工町 2丁目25,32.795809,130.6956674,13.36130524,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）子ども文化会館,子ども文化会館,熊本県 熊本市中央区 新町 1丁目3-11,32.804637,130.69834,20.16953468,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）熊本市総合体育館・青年会館,熊本市総合体育館・青年会館,熊本県 熊本市中央区 出水 2丁目7-1,32.7851171,130.7366073,15.70920753,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）秋津出張所（秋津公民館）,秋津出張所（秋津公民館）,熊本県 熊本市東区 秋津 3丁目15-1,32.7712018,130.773298,6.7996068,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）託麻総合出張所（託麻公民館）,託麻総合出張所（託麻公民館）,熊本県 熊本市東区 長嶺東 7丁目11-15,32.827962,130.779211,68.96950531,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）東部在宅福祉センター,東部在宅福祉センター,熊本県 熊本市東区 健軍本町 31-20,32.786488,130.759586,25.23345947,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）東部はつらつ交流会館,東部はつらつ交流会館,熊本県 熊本市東区 秋津 3丁目17-23,32.772604,130.775501,7.064304352,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）西部公民館,西部公民館,熊本県 熊本市西区 小島 2丁目7-1,32.7763353,130.6475193,0.242547199,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,西区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）花園総合出張所（花園公民館）,花園総合出張所（花園公民館）,熊本県 熊本市西区 花園 5丁目8-3,32.8175774,130.6948615,11.23731804,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,西区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）アクアドームくまもと,アクアドームくまもと,熊本県 熊本市南区 荒尾 2丁目1-1,32.763308,130.667876,11.6490612,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）富合ホール（アスパル富合）,富合ホール（アスパル富合）,熊本県 熊本市南区 富合町清藤 400,32.71606,130.677997,3.063827276,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）富合雁回館,富合雁回館,熊本県 熊本市南区 富合町清藤 405−1,32.715163,130.677994,3.441322565,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）南部総合スポーツセンター,南部総合スポーツセンター,熊本県 熊本市南区 白藤 5丁目2-1,32.7553374,130.6735095,2.582403421,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）火の君文化センター,火の君文化センター,熊本県 熊本市南区 城南町舞原 394-1,32.7074511,130.7398398,31,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）城南総合スポーツセンター,城南総合スポーツセンター,熊本県 熊本市南区 城南町舞原 144-1,32.708282,130.748063,31.63038063,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,南区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）植木文化センター,植木文化センター,熊本県 熊本市北区 植木町岩野 238-1,32.9037604,130.6954107,101.3129883,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,北区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）龍田出張所（龍田公民館）,龍田出張所（龍田公民館）,熊本県 熊本市北区 龍田弓削 1丁目1-10,32.844153,130.764396,67.24575806,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,北区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）龍田体育館,龍田体育館,熊本県 熊本市北区 龍田弓削 1丁目1-10,32.843758,130.764146,65.52895355,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,北区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）武蔵塚武道場,武蔵塚武道場,熊本県 熊本市北区 龍田弓削 1丁目1-10,32.844524,130.76446,69.9107666,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,北区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】秋津小学校,秋津小学校,熊本県 熊本市東区 秋津 3丁目9-20,32.7726147,130.7719461,9.029702187,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】桜木小学校,桜木小学校,熊本県 熊本市東区 花立 2丁目23-1,32.7814047,130.7767007,19.63165092,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】月出小学校,月出小学校,熊本県 熊本市東区 月出 6丁目2-40,32.804962,130.7708843,39,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】西原中学校,西原中学校,熊本県 熊本市東区 保田窪 4丁目9-1,32.809355,130.756081,38.6282196,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】若葉小学校,若葉小学校,熊本県 熊本市東区 若葉 4丁目23-1,32.772732,130.7634053,10.75031853,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】えがお,えがお,熊本県 熊本市東区 東町 4-10-1,32.7833943,130.761569,25.87458611,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】春日団地集会所,春日団地集会所,熊本県 熊本市西区 春日 6丁目 4-2,32.787494,130.686575,10.39234734,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,
（閉鎖）【指定】天明公民館,天明公民館,熊本県 熊本市南区 奥古閑町 2035,32.7329175,130.6366682,1.671241641,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】南部公民館,南部公民館,熊本県 熊本市南区 南高江 6丁目7-35,32.7484186,130.6862447,3.361496449,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】幸田公民館,幸田公民館,熊本県 熊本市南区 幸田 2丁目4-1,32.7666821,130.7122527,6.937650681,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）西部環境工場,西部環境工場,熊本県 熊本市西区 城山薬師 2丁目12−1,32.774152,130.646848,12.05438709,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,西区役所が担当・拠点,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】白川小学校,白川小学校,熊本県 熊本市中央区 新屋敷 1丁目7-13,32.8026773,130.7168472,16.52944374,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】城東小学校,城東小学校,熊本県 熊本市中央区 千葉城町 5-1,32.8083466,130.7093215,13.55973816,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】本荘小学校,本荘小学校,熊本県 熊本市中央区 本荘 6丁目5-47,32.792668,130.7081942,12.56844616,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】壷川小学校,壷川小学校,熊本県 熊本市中央区 壺川 1丁目4-5,32.8131482,130.7096384,10.40561485,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】京稜中学校,京稜中学校,熊本県 熊本市中央区 京町本丁 1-14,32.8172684,130.7046886,37.72292709,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】一新小学校,一新小学校,熊本県 熊本市中央区 新町 3丁目10-45,32.8024389,130.6951256,9.558123589,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】西山中学校,西山中学校,熊本県 熊本市中央区 島崎 1丁目27-1,32.8035193,130.6927536,8.069202423,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】江原中学校,江原中学校,熊本県 熊本市中央区 琴平 2丁目9-59,32.7841893,130.7053404,9.987588882,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】砂取小学校,砂取小学校,熊本県 熊本市中央区 神水 1丁目1-1,32.7872406,130.7387848,14.89866734,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】託麻原小学校,託麻原小学校,熊本県 熊本市中央区 渡鹿 2丁目3-1,32.80389,130.7359738,24.11170387,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】白山小学校,白山小学校,熊本県 熊本市中央区 菅原町 9-1,32.7900074,130.719646,10.6523695,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】出水南小学校,出水南小学校,熊本県 熊本市中央区 出水 4丁目1-1,32.7832831,130.7306511,7.044256687,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】熊本学園大学,熊本学園大学,熊本県 熊本市中央区 大江 2丁目5-1,32.8043007,130.7296201,22.86105919,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】熊本県庁,熊本県庁,熊本県 熊本市中央区 水前寺 6丁目18-1,32.789756,130.741534,31.18938828,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】中央消防署（防災センター）,中央消防署（防災センター）,熊本県 熊本市中央区 大江 3丁目1,32.803933,130.721338,18.11351395,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】帯山中学校,帯山中学校,熊本県 熊本市中央区 帯山 1丁目35-32,32.8012426,130.7449197,32.84279251,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】熊本刑務所,熊本刑務所,熊本県 熊本市中央区 渡鹿 7丁目12-1,32.810164,130.738133,22.31533051,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】井手の口公園,井手の口公園,熊本県 熊本市中央区 九品寺 1丁目5,32.799425,130.716423,17.93333817,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】競輪サービスセンター,競輪サービスセンター,熊本県 熊本市中央区 水前寺 5丁目23-1,32.795959,130.740152,22.06204033,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】ふれあい文化センター,ふれあい文化センター,熊本県 熊本市中央区 本荘 4丁目6-6,32.7923936,130.7113812,13,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定外】白川老人憩の家,白川老人憩の家,熊本県 熊本市中央区 九品寺 1丁目5-12,32.7994954,130.7161099,18.20020866,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定外,指定外・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】碩台小学校,碩台小学校,熊本県 熊本市中央区 井川淵町 4-8,32.8091196,130.7184568,15.82080364,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）【指定】帯山西小学校,帯山西小学校,熊本県 熊本市中央区 帯山 1丁目29-8,32.802162,130.741142,19.11539078,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,指定,指定・閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）大江小学校,大江小学校,熊本県 熊本市中央区 大江 3丁目5-31,32.8019759,130.7257147,17.09929085,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）白川中学校,白川中学校,熊本県 熊本市中央区 大江 3丁目1-12,32.803567,130.721803,18.15193748,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本大学医学部（本荘体育館）,熊本大学医学部（本荘体育館）,熊本県 熊本市中央区 九品寺 4丁目24-1,32.7926432,130.7144408,12.77710247,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
